iter	Passed	Remaining
0	1	115
1	2	101
2	2	95
3	3	89
4	5	101
5	6	96
6	7	93
7	7	86
8	8	84
9	8	80
10	9	78
11	10	76
12	11	75
13	12	74
14	12	72
15	13	71
16	13	67
17	14	66
18	15	65
19	16	64
20	17	64
21	17	63
22	18	63
23	19	63
24	20	62
25	21	62
26	22	61
27	23	60
28	24	59
29	25	59
30	26	58
31	27	57
32	27	56
33	29	56
34	30	55
35	30	53
36	30	52
37	31	51
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	42
48	40	41
49	41	41
50	41	40
51	42	39
52	43	38
53	44	37
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	51	33
61	53	32
62	53	31
63	54	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	6
93	80	5
94	81	4
95	82	3
96	82	2
97	83	1
98	85	0
99	85	0
